Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
M21.Ct.4R.yng.M1_27b,M21,Ct,R,yng,M1_27b
M21.Ct.5R.yng.M1_27b,M21,Ct,R,yng,M1_27b
M21.Ct.7R.yng.M1_27b,M21,Ct,R,yng,M1_27b
M21.Ct.9R.yng.M1_27b,M21,Ct,R,yng,M1_27b
M21.Ct.10R.yng.M1_27b,M21,Ct,R,yng,M1_27b
M21.Ct.12R.yng.M1_27b,M21,Ct,R,yng,M1_27b
C21.Oy.2R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Oy.3R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Oy.4R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Oy.6R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Oy.8R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Oy.9R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Oy.10R.yng.C2_40b,C21,Oy,R,yng,C2_40b
C21.Sha.3R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Sha.4R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Sha.6R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Sha.8R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Sha.9R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Sha.10R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Sha.12R.yng.C2_40b,C21,Sha,R,yng,C2_40b
C21.Tsu.1R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
C21.Tsu.2R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
C21.Tsu.3R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
C21.Tsu.4R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
C21.Tsu.6R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
C21.Tsu.9_2R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
C21.Tsu.10R.yng.C2_40b,C21,Tsu,R,yng,C2_40b
M21.Col.6E.yng.M2_41a2,M21,Col,E,yng,M2_41a2
M21.Col.9E.yng.M2_41a2,M21,Col,E,yng,M2_41a2
M21.Col.10E.yng.M2_41a2,M21,Col,E,yng,M2_41a2
M21.Ct.6E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Ct.7E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Ct.10E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Ct.11E.yng.M2_41a2,M21,Ct,E,yng,M2_41a2
M21.Cvi.2E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.4E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.5E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.8E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.10E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.11E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Cvi.12E.yng.M2_41a2,M21,Cvi,E,yng,M2_41a2
M21.Ler.1E.yng.M2_41a2,M21,Ler,E,yng,M2_41a2
M21.Ler.3E.yng.M2_41a2,M21,Ler,E,yng,M2_41a2
M21.Ler.4E.yng.M2_41a2,M21,Ler,E,yng,M2_41a2
M21.Ler.7E.yng.M2_41a2,M21,Ler,E,yng,M2_41a2
M21.Ler.9E.yng.M2_41b,M21,Ler,E,yng,M2_41b
M21.Mt.5E.yng.M2_41b,M21,Mt,E,yng,M2_41b
M21.Mt.6E.yng.M2_41b,M21,Mt,E,yng,M2_41b
M21.Mt.7E.yng.M2_41b,M21,Mt,E,yng,M2_41b
M21.Tsu.2E.yng.M2_41a2,M21,Tsu,E,yng,M2_41a2
M21.Tsu.7E.yng.M2_41a2,M21,Tsu,E,yng,M2_41a2
M21.Tsu.1E.yng.M2_41b,M21,Tsu,E,yng,M2_41b
M21.Tsu.3E.yng.M2_41b,M21,Tsu,E,yng,M2_41b
M21.Tsu.9E.yng.M2_41b,M21,Tsu,E,yng,M2_41b
M21.Oy.7E.yng.M2_41b,M21,Oy,E,yng,M2_41b
M21.Oy.8E.yng.M2_41b,M21,Oy,E,yng,M2_41b
M21.Oy.10E.yng.M2_41b,M21,Oy,E,yng,M2_41b
M21.Sha.2E.yng.M2_41b,M21,Sha,E,yng,M2_41b
M21.Sha.3E.yng.M2_41b,M21,Sha,E,yng,M2_41b
M21.Sha.7E.yng.M2_41b,M21,Sha,E,yng,M2_41b
M21.Col.1E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.3E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.5E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.6E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.8E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.9E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.10E.old.M2_42a,M21,Col,E,old,M2_42a
M21.Col.2E.old.M2_52a,M21,Col,E,old,M2_52a
M21.Ct.1E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.3E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.4E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.5E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.6E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.7E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.10E.old.M2_42a,M21,Ct,E,old,M2_42a
M21.Ct.8E.old.M2_52a,M21,Ct,E,old,M2_52a
